season,site,tree,latitude,longitude,elevation,higth,diameter,volume,distance_to_NN_20km,reproduction,reproduction_prop,est_n_fruits,pre_female,early_female,late_female,early_interph,late_interph,early_male,late_male,total_syconia,synchrony, damaged_syconia,counted_syconia
F2013,95,6,26.35698002,-111.80314,NA,NA,NA,NA,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,06N,26.362442,-111.801078,269.46,NA,NA,NA,0.613,Yes,0.0001,NA,0,0,0,0,3,9,14,26,2.363636364,16,60
F2013,95,06S,26.36229498,-111.801021,267.52,NA,NA,NA,0.6,Yes,0.0001,NA,0,0,0,13,18,0,1,32,2.072874494,25,60
F2013,95,7,26.35695999,-111.80311,NA,NA,NA,NA,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,07E,26.37037296,-111.808426,249.55,7,5,733.0382858,1.146,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,07W,26.37040297,-111.808506,250.62,12,9,4071.504079,1.154,Yes,0.0001,0.407150408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,8,26.37030699,-111.809721,275.85,NA,NA,NA,1.227,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,81,26.35689997,-111.80311,NA,14,6,2111.150263,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,9,26.36987801,-111.810296,267.22,NA,NA,NA,1.236,Yes,0.15,NA,0,2,0,14,19,4,0,39,2.636048527,7,60
F2013,95,10,26.36998798,-111.810405,276.75,10,10,4188.790205,1.252,Yes,0.625,2617.993878,0,0,0,21,16,0,0,37,1.964131994,2,60
F2013,95,101,26.35649001,-111.80294,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,11,26.36992503,-111.810612,285.75,12,14,9852.034562,1.263,Yes,0.625,6157.521601,0,0,0,3,24,8,4,39,2.287218045,33,60
F2013,95,111,26.35629002,-111.80288,NA,NA,NA,NA,0.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,12,26.35607,-111.80278,NA,NA,NA,NA,0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,12A,26.36989804,-111.810544,278.96,16,12,9650.972632,1.256,Yes,0.625,6031.857895,0,0,1,9,29,0,0,39,1.647887324,16,60
F2013,95,12A1,26.3537415,-111.8008069,261.84,NA,NA,NA,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,12B,26.36979301,-111.810459,276.52,NA,NA,NA,1.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,12B1,26.35369909,-111.8008511,257.28,NA,NA,NA,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,13,26.36952102,-111.810857,274.98,12,8,3216.990877,1.253,Yes,0.15,482.5486316,2,13,13,10,2,0,0,40,3.587443946,0,60
F2013,95,131,26.35580001,-111.80258,NA,NA,NA,NA,0.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,14,26.36939102,-111.810971,273.69,8,13,5663.244357,1.252,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,141,26.35557999,-111.80239,NA,NA,NA,NA,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,15,26.36935104,-111.811099,275.06,NA,NA,NA,1.26,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,151,26.35558996,-111.8024,NA,NA,NA,NA,0.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,16,26.35556985,-111.8023757,NA,NA,NA,NA,0.155,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,161,26.36944399,-111.811083,294.86,NA,NA,NA,1.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,17,26.36931198,-111.811122,288.28,NA,NA,NA,1.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,171,26.35518998,-111.80203,NA,7,3,263.8937829,0.152,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,17A,26.35312099,-111.7944613,266.65,18,10,7539.822369,0.64,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,17B,26.35297213,-111.7945225,264.25,18,10,7539.822369,0.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,18,26.36840103,-111.812184,278.01,NA,NA,NA,1.29,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,181,26.35455002,-111.80161,NA,NA,NA,NA,0.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,19,26.35432404,-111.8014099,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,20,26.35429303,-111.8013998,NA,NA,NA,NA,0.147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,200,26.35302301,-111.800989,315.38,NA,NA,NA,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,201,26.35435699,-111.797917,277.98,NA,NA,NA,0.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,202,26.35209002,-111.791727,277.35,NA,NA,NA,0.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,21,26.35365441,-111.8009194,NA,6,7,1231.50432,0.11,Yes,0.15,184.725648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,22,26.35360756,-111.8008339,NA,8,6,1206.371579,0.1,Yes,0.625,753.9822369,0,0,0,25,19,0,0,44,1.963488844,0,60
F2013,95,23,26.35341469,-111.8003436,NA,14,8,3753.156023,0.138,Yes,0.025,93.82890059,1,0,0,16,28,3,0,48,2.194285714,0,60
